Categoria,Qtd_Produtos_Unicos,Total_Vendas_Unidades,Preco_Min,Preco_Mediano,Preco_Medio,Preco_Max,Desvio_Padrao,Qtd_Outliers,Pct_Outliers_Perc
cama_mesa_banho,652,6407,8.99,71.1,86.65,540,58.83,99,3.69
beleza_saude,471,5704,6,88.83,145.42,1499.65,190.98,237,13.24
informatica_acessorios,382,4880,5.2,68.9,104.08,2999.89,163.68,67,4.42
esporte_lazer,565,4261,7.99,89.9,109.35,1695,105.91,87,4.21
moveis_decoracao,433,4166,10.9,59.9,88.61,790,74.18,122,7.39
relogios_presentes,280,4070,15.4,95,160.14,1399,182.69,106,8.12
utilidades_domesticas,395,3062,5.9,59.9,89.38,1377.5,99.52,83,6.07
cool_stuff,208,2527,8.9,129.99,156.9,968,140.99,58,6.42
telefonia,282,2503,5,27.99,55.98,1099,100.15,148,14.52
brinquedos,227,1951,9.4,74.99,114.1,1350,134.16,76,9.05
